ImageName,Mode,Channel,Mean(x),Mean(y),VAR(X),VAR(Y),"COV(X, Y)","Correlation(X,Y)"
01_Airplane.bmp,HD,R channel,177.54,177.52,1979.76,1979.45,1925.45,0.972641
01_Airplane.bmp,HD,G channel,177.80,178.20,2689.45,2630.50,2547.53,0.957787
01_Airplane.bmp,HD,B channel,190.17,190.20,1039.86,1038.85,1001.92,0.963982
01_Airplane.bmp,VD,R channel,177.83,177.63,1948.86,1977.72,1878.46,0.956816
01_Airplane.bmp,VD,G channel,177.96,177.86,2686.67,2690.97,2602.12,0.967756
01_Airplane.bmp,VD,B channel,190.48,190.20,1002.86,1040.84,955.59,0.935325
01_Airplane.bmp,DD,R channel,177.79,177.57,1949.92,1978.50,1835.18,0.934333
01_Airplane.bmp,DD,G channel,177.90,178.20,2688.99,2634.33,2482.12,0.932594
01_Airplane.bmp,DD,B channel,190.44,190.19,1003.67,1040.66,934.70,0.914583
02_Baboon.bmp,HD,R channel,137.45,137.37,3082.89,3081.03,2844.86,0.923070
02_Baboon.bmp,HD,G channel,128.88,128.85,2284.29,2282.37,1976.18,0.865483
02_Baboon.bmp,HD,B channel,113.17,113.18,3810.82,3808.96,3456.89,0.907348
02_Baboon.bmp,VD,R channel,137.64,137.43,3054.65,3082.51,2657.25,0.865962
02_Baboon.bmp,VD,G channel,129.09,128.85,2259.24,2282.54,1737.23,0.765009
02_Baboon.bmp,VD,B channel,113.32,113.13,3793.50,3809.33,3348.64,0.880895
02_Baboon.bmp,DD,R channel,137.70,137.41,3057.34,3083.36,2623.11,0.854344
02_Baboon.bmp,DD,G channel,129.11,128.84,2261.51,2282.88,1669.59,0.734798
02_Baboon.bmp,DD,B channel,113.37,113.19,3797.55,3811.53,3195.27,0.839859
03_Lena.bmp,HD,R channel,180.23,180.27,2405.18,2404.77,2356.34,0.979777
03_Lena.bmp,HD,G channel,99.03,99.12,2793.85,2796.31,2708.63,0.969071
03_Lena.bmp,HD,B channel,105.40,105.46,1159.69,1160.23,1081.95,0.932746
03_Lena.bmp,VD,R channel,180.24,180.18,2405.18,2408.64,2381.20,0.989319
03_Lena.bmp,VD,G channel,99.07,99.03,2796.91,2799.93,2749.44,0.982497
03_Lena.bmp,VD,B channel,105.42,105.42,1160.26,1161.82,1111.82,0.957608
03_Lena.bmp,DD,R channel,180.24,180.22,2404.56,2407.63,2333.18,0.969697
03_Lena.bmp,DD,G channel,99.05,99.10,2794.72,2800.21,2673.12,0.955550
03_Lena.bmp,DD,B channel,105.41,105.46,1160.01,1162.11,1066.19,0.918290
04_Peppers.bmp,HD,R channel,149.88,149.93,2040.67,2035.28,1963.64,0.963529
04_Peppers.bmp,HD,G channel,115.56,115.79,5631.02,5616.75,5517.71,0.981121
04_Peppers.bmp,HD,B channel,66.51,66.66,1961.26,1956.35,1893.23,0.966521
04_Peppers.bmp,VD,R channel,149.75,149.82,2041.71,2035.48,1969.97,0.966341
04_Peppers.bmp,VD,G channel,115.50,115.79,5630.88,5616.75,5521.33,0.981778
04_Peppers.bmp,VD,B channel,66.47,66.31,1958.11,1937.74,1882.51,0.966428
04_Peppers.bmp,DD,R channel,149.81,149.93,2041.66,2030.01,1947.03,0.956381
04_Peppers.bmp,DD,G channel,115.49,116.02,5629.98,5601.45,5439.71,0.968662
04_Peppers.bmp,DD,B channel,66.45,66.44,1958.21,1932.91,1843.96,0.947797
